wavelength,n,kappa
529.0,1.5014808230889507,0
530.12,1.501348985151735,0
531.24,1.5012181822457722,0
532.36,1.5010884024387394,0
533.48,1.5009596339801914,0
534.6,1.5008318652981885,0
535.72,1.5007050849959958,0
536.84,1.500579281848855,0
537.96,1.5004544448008235,0
539.08,1.5003305629616797,0
540.2,1.5002076256038952,0
541.32,1.500085622159671,0
542.44,1.4999645422180339,0
543.56,1.4998443755219966,0
544.68,1.4997251119657748,0
545.8,1.4996067415920653,0
546.92,1.4994892545893768,0
548.04,1.4993726412894202,0
549.16,1.49925689216455,0
550.28,1.499141997825261,0
551.4,1.4990279490177338,0
552.52,1.4989147366214346,0
553.64,1.49880235164676,0
554.76,1.4986907852327325,0
555.88,1.4985800286447437,0
557.0,1.4984700732723413,0
558.12,1.4983609106270621,0
559.24,1.4982525323403102,0
560.36,1.498144930161275,0
561.48,1.498038095954894,0
562.6,1.497932021699856,0
563.72,1.4978266994866432,0
564.84,1.497722121515613,0
565.96,1.4976182800951192,0
567.08,1.4975151676396687,0
568.2,1.4974127766681176,0
569.32,1.4973110998018988,0
570.44,1.4972101297632887,0
571.56,1.4971098593737062,0
572.6800000000001,1.4970102815520463,0
573.8,1.4969113893130426,0
574.92,1.4968131757656682,0
576.04,1.496715634111563,0
577.16,1.496618757643492,0
578.28,1.4965225397438358,0
579.4,1.4964269738831093,0
580.52,1.4963320536185074,0
581.64,1.4962377725924814,0
582.76,1.4961441245313407,0
583.88,1.496051103243883,0
585.0,1.4959587026200492,0
